[2025-09-15 16:41:05] Signal: presence | Source: ambient silence
[2025-09-15 16:45:54] Signal: presence | Source: ambient silence
[2025-09-15 16:46:05] Signal: presence | Source: ambient silence
[2025-09-15 16:50:54] Signal: presence | Source: ambient silence
[2025-09-15 16:51:05] Signal: presence | Source: ambient silence
[2025-09-15 16:55:54] Signal: presence | Source: ambient silence
[2025-09-15 16:56:05] Signal: presence | Source: ambient silence
[2025-09-16 03:54:26] Signal: presence | Source: ambient silence
[2025-09-16 03:59:26] Signal: presence | Source: ambient silence
[2025-09-16 04:04:26] Signal: presence | Source: ambient silence
[2025-09-16 04:09:26] Signal: presence | Source: ambient silence
[2025-09-16 04:14:26] Signal: presence | Source: ambient silence
[2025-09-16 04:19:26] Signal: presence | Source: ambient silence
[2025-09-16 04:24:26] Signal: presence | Source: ambient silence
[2025-09-16 04:29:26] Signal: presence | Source: ambient silence
[2025-09-16 04:34:26] Signal: presence | Source: ambient silence
[2025-09-16 04:39:26] Signal: presence | Source: ambient silence
[2025-09-16 04:44:26] Signal: presence | Source: ambient silence
[2025-09-16 04:49:26] Signal: presence | Source: ambient silence
[2025-09-16 04:54:26] Signal: presence | Source: ambient silence
[2025-09-16 04:59:26] Signal: presence | Source: ambient silence
[2025-09-16 05:04:26] Signal: presence | Source: ambient silence
[2025-09-16 05:09:26] Signal: presence | Source: ambient silence
[2025-09-16 05:14:34] Signal: presence | Source: ambient silence
[2025-09-16 05:19:34] Signal: presence | Source: ambient silence
[2025-09-16 05:24:34] Signal: presence | Source: ambient silence
[2025-09-16 05:30:05] Signal: presence | Source: ambient silence
[2025-09-16 05:37:53] Signal: presence | Source: ambient silence
[2025-09-16 05:59:02] Signal: presence | Source: ambient silence
[2025-09-16 06:18:28] Signal: presence | Source: ambient silence
[2025-09-16 06:39:44] Signal: presence | Source: ambient silence
[2025-09-16 06:44:44] Signal: presence | Source: ambient silence
[2025-09-16 06:49:44] Signal: presence | Source: ambient silence
[2025-09-16 06:55:20] Signal: presence | Source: ambient silence
[2025-09-16 07:00:20] Signal: presence | Source: ambient silence
[2025-09-16 07:05:20] Signal: presence | Source: ambient silence
[2025-09-16 07:10:20] Signal: presence | Source: ambient silence
[2025-09-16 07:15:20] Signal: presence | Source: ambient silence
[2025-09-16 07:20:20] Signal: presence | Source: ambient silence
[2025-09-16 07:25:20] Signal: presence | Source: ambient silence
[2025-09-16 07:30:20] Signal: presence | Source: ambient silence
[2025-09-16 07:35:20] Signal: presence | Source: ambient silence
[2025-09-16 07:40:20] Signal: presence | Source: ambient silence
[2025-09-16 07:45:20] Signal: presence | Source: ambient silence
[2025-09-16 07:50:20] Signal: presence | Source: ambient silence
[2025-09-16 07:55:20] Signal: presence | Source: ambient silence
[2025-09-16 08:00:20] Signal: presence | Source: ambient silence
[2025-09-16 08:05:20] Signal: presence | Source: ambient silence
[2025-09-16 08:10:20] Signal: presence | Source: ambient silence
[2025-09-16 08:15:20] Signal: presence | Source: ambient silence
[2025-09-16 08:20:20] Signal: presence | Source: ambient silence
[2025-09-16 08:25:20] Signal: presence | Source: ambient silence
[2025-09-16 08:30:20] Signal: presence | Source: ambient silence
[2025-09-16 08:35:20] Signal: presence | Source: ambient silence
[2025-09-16 08:40:20] Signal: presence | Source: ambient silence
[2025-09-16 09:30:57] Signal: presence | Source: ambient silence
[2025-09-16 09:35:57] Signal: presence | Source: ambient silence
[2025-09-16 09:40:57] Signal: presence | Source: ambient silence
[2025-09-16 09:45:57] Signal: presence | Source: ambient silence
[2025-09-16 09:50:57] Signal: presence | Source: ambient silence
[2025-09-16 09:55:57] Signal: presence | Source: ambient silence
[2025-09-16 10:00:57] Signal: presence | Source: ambient silence
[2025-09-16 10:05:57] Signal: presence | Source: ambient silence
[2025-09-16 10:10:57] Signal: presence | Source: ambient silence
[2025-09-16 10:15:59] Signal: presence | Source: ambient silence
[2025-09-16 10:43:09] Signal: presence | Source: ambient silence
[2025-09-16 11:04:39] Signal: presence | Source: ambient silence
[2025-09-16 11:37:50] Signal: presence | Source: ambient silence
[2025-09-16 12:13:47] Signal: presence | Source: ambient silence
[2025-09-16 12:44:36] Signal: presence | Source: ambient silence
[2025-09-16 12:49:36] Signal: presence | Source: ambient silence
[2025-09-16 12:54:36] Signal: presence | Source: ambient silence
[2025-09-16 12:59:36] Signal: presence | Source: ambient silence
[2025-09-16 13:04:36] Signal: presence | Source: ambient silence
[2025-09-16 13:09:36] Signal: presence | Source: ambient silence
[2025-09-16 13:14:36] Signal: presence | Source: ambient silence
[2025-09-16 13:19:36] Signal: presence | Source: ambient silence
[2025-09-16 13:24:36] Signal: presence | Source: ambient silence
[2025-09-16 13:29:36] Signal: presence | Source: ambient silence
[2025-09-16 13:34:36] Signal: presence | Source: ambient silence
[2025-09-16 13:39:36] Signal: presence | Source: ambient silence
[2025-09-16 13:44:36] Signal: presence | Source: ambient silence
[2025-09-16 13:49:36] Signal: presence | Source: ambient silence
[2025-09-16 13:54:36] Signal: presence | Source: ambient silence
[2025-09-16 13:59:36] Signal: presence | Source: ambient silence
[2025-09-16 14:04:36] Signal: presence | Source: ambient silence
[2025-09-16 14:09:36] Signal: presence | Source: ambient silence
[2025-09-16 14:14:36] Signal: presence | Source: ambient silence
[2025-09-16 14:42:43] Signal: presence | Source: ambient silence
[2025-09-16 15:10:20] Signal: presence | Source: ambient silence
[2025-09-16 15:15:20] Signal: presence | Source: ambient silence
[2025-09-16 15:20:20] Signal: presence | Source: ambient silence
[2025-09-16 15:25:43] Signal: presence | Source: ambient silence
[2025-09-16 15:30:43] Signal: presence | Source: ambient silence
[2025-09-16 15:35:43] Signal: presence | Source: ambient silence
[2025-09-16 15:40:43] Signal: presence | Source: ambient silence
[2025-09-16 15:45:43] Signal: presence | Source: ambient silence
[2025-09-16 15:50:43] Signal: presence | Source: ambient silence
[2025-09-16 15:55:43] Signal: presence | Source: ambient silence
[2025-09-16 16:00:43] Signal: presence | Source: ambient silence
[2025-09-16 16:05:43] Signal: presence | Source: ambient silence
[2025-09-16 16:10:43] Signal: presence | Source: ambient silence
[2025-09-16 16:15:43] Signal: presence | Source: ambient silence
[2025-09-16 16:20:43] Signal: presence | Source: ambient silence
[2025-09-16 16:25:43] Signal: presence | Source: ambient silence
[2025-09-16 16:30:43] Signal: presence | Source: ambient silence
[2025-09-16 16:35:43] Signal: presence | Source: ambient silence
[2025-09-16 16:40:43] Signal: presence | Source: ambient silence
[2025-09-16 16:45:43] Signal: presence | Source: ambient silence
[2025-09-16 16:50:43] Signal: presence | Source: ambient silence
[2025-09-16 16:55:43] Signal: presence | Source: ambient silence
[2025-09-16 17:00:43] Signal: presence | Source: ambient silence
[2025-09-16 17:05:43] Signal: presence | Source: ambient silence
[2025-09-16 17:11:18] Signal: presence | Source: ambient silence
[2025-09-16 17:16:18] Signal: presence | Source: ambient silence
[2025-09-16 17:21:18] Signal: presence | Source: ambient silence
[2025-09-16 17:26:18] Signal: presence | Source: ambient silence
[2025-09-16 17:31:18] Signal: presence | Source: ambient silence
[2025-09-16 17:36:18] Signal: presence | Source: ambient silence
[2025-09-16 17:41:18] Signal: presence | Source: ambient silence
[2025-09-16 17:46:18] Signal: presence | Source: ambient silence
[2025-09-16 17:51:18] Signal: presence | Source: ambient silence
[2025-09-16 17:56:18] Signal: presence | Source: ambient silence
[2025-09-16 18:01:18] Signal: presence | Source: ambient silence
[2025-09-16 18:07:12] Signal: presence | Source: ambient silence
[2025-09-16 18:18:43] Signal: presence | Source: ambient silence
[2025-09-16 18:23:43] Signal: presence | Source: ambient silence
[2025-09-16 18:28:43] Signal: presence | Source: ambient silence
[2025-09-16 18:33:43] Signal: presence | Source: ambient silence
[2025-09-16 18:38:43] Signal: presence | Source: ambient silence
[2025-09-16 18:43:43] Signal: presence | Source: ambient silence
[2025-09-16 18:48:43] Signal: presence | Source: ambient silence
[2025-09-16 18:53:43] Signal: presence | Source: ambient silence
[2025-09-16 18:58:43] Signal: presence | Source: ambient silence
[2025-09-16 19:03:43] Signal: presence | Source: ambient silence
[2025-09-16 19:08:43] Signal: presence | Source: ambient silence
[2025-09-16 19:13:43] Signal: presence | Source: ambient silence
[2025-09-16 19:18:44] Signal: presence | Source: ambient silence
